date,2020,last3,last1,home,away,2019
2020-01-01,8.6%,9.0%,8.7%,8.4%,8.8%,6.5%
2020-01-02,8.6%,9.0%,8.7%,8.4%,8.8%,6.5%
2020-01-03,8.6%,9.4%,7.7%,8.4%,8.8%,6.5%
2020-01-04,8.6%,9.4%,7.7%,8.4%,8.8%,6.5%
2020-01-05,8.7%,9.9%,13.4%,8.6%,8.8%,6.5%
2020-01-06,8.7%,9.9%,13.4%,8.6%,8.8%,6.5%
2020-01-07,8.7%,10.2%,9.3%,8.6%,8.9%,6.5%
2020-01-08,8.7%,10.2%,9.3%,8.6%,8.9%,6.5%
2020-01-09,8.8%,11.0%,10.3%,8.6%,8.9%,6.5%
2020-01-10,8.8%,11.0%,10.3%,8.6%,8.9%,6.5%
2020-01-11,8.7%,8.5%,5.7%,8.5%,8.9%,6.5%
2020-01-12,8.7%,8.8%,10.1%,8.5%,9.0%,6.5%
2020-01-13,8.7%,8.8%,10.1%,8.5%,9.0%,6.5%
2020-01-14,8.6%,6.8%,4.6%,8.5%,8.8%,6.5%
2020-01-15,8.6%,6.8%,4.6%,8.5%,8.8%,6.5%
2020-01-16,8.7%,8.3%,10.1%,8.6%,8.8%,6.5%
2020-01-17,8.7%,8.3%,10.1%,8.6%,8.8%,6.5%
2020-01-18,8.7%,7.4%,7.7%,8.6%,8.7%,6.5%
2020-01-19,8.8%,11.1%,15.4%,8.9%,8.7%,6.5%
2020-01-20,8.8%,11.1%,15.4%,8.9%,8.7%,6.5%
2020-01-21,8.8%,11.0%,9.7%,8.9%,8.8%,6.5%
2020-01-22,8.8%,11.0%,9.8%,8.9%,8.8%,6.5%
2020-01-23,8.8%,11.0%,7.9%,8.8%,8.8%,6.5%
2020-01-24,8.8%,11.0%,7.9%,8.8%,8.8%,6.5%
2020-01-25,8.7%,7.8%,5.7%,8.7%,8.8%,6.5%
2020-01-26,8.8%,9.1%,13.5%,8.7%,9.0%,6.5%
2020-01-27,8.8%,9.1%,13.5%,8.7%,9.0%,6.5%
2020-01-28,8.8%,8.9%,7.3%,8.6%,9.0%,6.5%
2020-01-29,8.8%,8.9%,7.3%,8.6%,9.0%,6.5%
2020-01-30,8.8%,9.7%,8.4%,8.6%,9.0%,6.5%
2020-01-31,8.8%,9.7%,8.4%,8.6%,9.0%,6.5%
2020-02-01,8.8%,7.4%,6.4%,8.6%,8.9%,6.5%
2020-02-02,8.8%,7.4%,6.4%,8.6%,8.9%,6.5%
2020-02-03,8.8%,8.0%,9.0%,8.6%,8.9%,6.5%
2020-02-04,8.8%,8.0%,9.0%,8.6%,8.9%,6.5%
2020-02-05,8.8%,8.0%,9.0%,8.6%,8.9%,6.5%
2020-02-06,8.8%,8.0%,9.0%,8.6%,8.9%,6.5%
2020-02-07,8.8%,8.3%,9.4%,8.7%,8.9%,6.5%
2020-02-08,8.8%,8.3%,9.4%,8.7%,8.9%,6.5%
2020-02-09,8.8%,8.3%,9.4%,8.7%,8.9%,6.5%
2020-02-10,8.7%,8.4%,6.9%,8.7%,8.8%,6.5%
2020-02-11,8.7%,8.4%,6.9%,8.7%,8.8%,6.5%
2020-02-12,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-13,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-14,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-15,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-16,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-17,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-18,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-19,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-20,8.7%,8.0%,7.6%,8.7%,8.8%,6.5%
2020-02-21,8.8%,8.5%,11.3%,8.8%,8.8%,6.5%
2020-02-22,8.8%,8.5%,11.3%,8.8%,8.8%,6.5%
2020-02-23,8.8%,9.2%,8.9%,8.8%,8.8%,6.5%
2020-02-24,8.8%,11.0%,12.8%,8.9%,8.8%,6.5%
