date,2020,last3,last1,home,away,2019
2019-01-01,7.0%,6.6%,6.1%,6.6%,7.2%,6.9%
2019-01-02,7.0%,6.6%,6.1%,6.6%,7.2%,6.9%
2019-01-03,7.0%,7.5%,8.1%,6.7%,7.2%,6.9%
2019-01-04,7.0%,7.5%,8.1%,6.7%,7.2%,6.9%
2019-01-05,7.0%,7.6%,8.7%,6.8%,7.2%,6.9%
2019-01-06,7.0%,7.6%,8.7%,6.8%,7.2%,6.9%
2019-01-07,7.0%,7.6%,5.8%,6.8%,7.2%,6.9%
2019-01-08,7.0%,7.6%,5.8%,6.8%,7.2%,6.9%
2019-01-09,7.0%,7.6%,5.8%,6.8%,7.2%,6.9%
2019-01-10,6.9%,6.4%,4.6%,6.8%,7.1%,6.9%
2019-01-11,6.9%,6.4%,4.6%,6.8%,7.1%,6.9%
2019-01-12,7.0%,6.1%,7.8%,6.8%,7.2%,6.9%
2019-01-13,7.0%,6.5%,7.0%,6.8%,7.1%,6.9%
2019-01-14,7.0%,6.5%,7.0%,6.8%,7.1%,6.9%
2019-01-15,7.0%,6.5%,7.0%,6.8%,7.1%,6.9%
2019-01-16,7.0%,8.1%,9.4%,6.8%,7.2%,6.9%
2019-01-17,7.0%,8.1%,9.4%,6.8%,7.2%,6.9%
2019-01-18,6.9%,6.4%,2.7%,6.8%,7.1%,6.9%
2019-01-19,6.9%,6.4%,2.7%,6.8%,7.1%,6.9%
2019-01-20,7.0%,6.9%,8.3%,6.8%,7.1%,6.9%
2019-01-21,7.0%,6.9%,8.3%,6.8%,7.1%,6.9%
2019-01-22,7.0%,6.1%,7.2%,6.8%,7.1%,6.9%
2019-01-23,7.0%,6.1%,7.2%,6.8%,7.1%,6.9%
2019-01-24,6.9%,7.1%,6.0%,6.8%,7.1%,6.9%
2019-01-25,6.9%,7.1%,6.0%,6.8%,7.1%,6.9%
2019-01-26,7.0%,7.7%,9.8%,6.9%,7.1%,6.9%
2019-01-27,7.0%,7.7%,9.8%,6.9%,7.1%,6.9%
2019-01-28,7.0%,6.8%,4.6%,6.8%,7.1%,6.9%
2019-01-29,7.0%,6.8%,4.6%,6.8%,7.1%,6.9%
2019-01-30,6.9%,6.4%,4.9%,6.8%,7.0%,6.9%
2019-01-31,6.9%,5.0%,5.4%,6.8%,6.9%,6.9%
2019-02-01,6.9%,5.0%,5.4%,6.8%,6.9%,6.9%
2019-02-02,6.9%,5.0%,5.4%,6.8%,6.9%,6.9%
2019-02-03,6.8%,4.8%,3.9%,6.8%,6.8%,6.9%
2019-02-04,6.8%,4.8%,3.9%,6.8%,6.8%,6.9%
2019-02-05,6.8%,4.8%,3.9%,6.8%,6.8%,6.9%
2019-02-06,6.8%,4.8%,3.9%,6.8%,6.8%,6.9%
2019-02-07,6.8%,5.5%,7.2%,6.8%,6.8%,6.9%
2019-02-08,6.8%,5.5%,7.2%,6.8%,6.8%,6.9%
2019-02-09,6.8%,5.2%,4.4%,6.8%,6.7%,6.9%
2019-02-10,6.8%,5.9%,6.1%,6.8%,6.7%,6.9%
2019-02-11,6.8%,5.9%,6.1%,6.8%,6.7%,6.9%
2019-02-12,6.8%,5.9%,7.1%,6.8%,6.7%,6.9%
2019-02-13,6.8%,5.9%,7.1%,6.8%,6.7%,6.9%
2019-02-14,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-15,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-16,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-17,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-18,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-19,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-20,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-21,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-22,6.7%,5.1%,1.9%,6.7%,6.7%,6.9%
2019-02-23,6.7%,5.5%,7.4%,6.7%,6.8%,6.9%
2019-02-24,6.7%,4.4%,3.7%,6.6%,6.8%,6.9%
2019-02-25,6.7%,4.4%,3.7%,6.6%,6.8%,6.9%
2019-02-26,6.6%,4.6%,2.7%,6.5%,6.8%,6.9%
2019-02-27,6.6%,4.6%,2.7%,6.5%,6.8%,6.9%
2019-02-28,6.7%,5.7%,10.3%,6.5%,6.9%,6.9%
2019-03-01,6.7%,5.7%,10.3%,6.5%,6.9%,6.9%
2019-03-02,6.7%,6.5%,6.4%,6.5%,6.9%,6.9%
2019-03-03,6.7%,6.5%,6.4%,6.5%,6.9%,6.9%
2019-03-04,6.6%,7.2%,5.1%,6.4%,6.9%,6.9%
2019-03-05,6.6%,7.2%,5.1%,6.4%,6.9%,6.9%
2019-03-06,6.6%,6.0%,6.4%,6.4%,6.9%,6.9%
2019-03-07,6.6%,5.9%,6.1%,6.4%,6.9%,6.9%
2019-03-08,6.6%,5.9%,6.1%,6.4%,6.9%,6.9%
2019-03-09,6.7%,6.9%,8.3%,6.5%,6.9%,6.9%
2019-03-10,6.7%,6.9%,8.3%,6.5%,6.9%,6.9%
2019-03-11,6.6%,6.0%,3.7%,6.5%,6.8%,6.9%
2019-03-12,6.6%,6.0%,3.7%,6.5%,6.8%,6.9%
2019-03-13,6.6%,5.8%,5.6%,6.4%,6.8%,6.9%
2019-03-14,6.6%,5.8%,5.6%,6.4%,6.8%,6.9%
2019-03-15,6.6%,5.8%,5.6%,6.4%,6.8%,6.9%
2019-03-16,6.5%,3.8%,2.5%,6.4%,6.6%,6.9%
2019-03-17,6.5%,3.8%,2.5%,6.4%,6.6%,6.9%
2019-03-18,6.5%,4.3%,4.9%,6.4%,6.6%,6.9%
2019-03-19,6.5%,5.1%,8.2%,6.4%,6.6%,6.9%
2019-03-20,6.5%,5.1%,8.2%,6.4%,6.6%,6.9%
2019-03-21,6.6%,7.0%,8.2%,6.5%,6.6%,6.9%
2019-03-22,6.6%,7.0%,8.2%,6.5%,6.6%,6.9%
2019-03-23,6.6%,7.0%,8.2%,6.5%,6.6%,6.9%
2019-03-24,6.5%,7.2%,5.2%,6.4%,6.6%,6.9%
2019-03-25,6.5%,7.2%,5.2%,6.4%,6.6%,6.9%
2019-03-26,6.5%,7.2%,5.2%,6.4%,6.6%,6.9%
2019-03-27,6.6%,8.1%,11.1%,6.4%,6.7%,6.9%
2019-03-28,6.6%,6.8%,3.9%,6.4%,6.7%,6.9%
2019-03-29,6.6%,6.8%,3.9%,6.4%,6.7%,6.9%
2019-03-30,6.6%,6.8%,3.9%,6.4%,6.7%,6.9%
2019-03-31,6.5%,6.9%,5.6%,6.4%,6.7%,6.9%
2019-04-01,6.5%,6.9%,5.6%,6.4%,6.7%,6.9%
2019-04-02,6.6%,6.0%,8.6%,6.4%,6.8%,6.9%
2019-04-03,6.6%,6.0%,8.6%,6.4%,6.8%,6.9%
2019-04-04,6.6%,6.6%,5.8%,6.4%,6.8%,6.9%
2019-04-05,6.6%,6.6%,5.8%,6.4%,6.8%,6.9%
2019-04-06,6.6%,6.9%,5.8%,6.4%,6.8%,6.9%
2019-04-07,6.5%,6.0%,3.7%,6.3%,6.8%,6.9%
2019-04-08,6.5%,6.0%,3.7%,6.3%,6.8%,6.9%
2019-04-09,6.5%,6.0%,3.7%,6.3%,6.8%,6.9%
2019-04-10,6.5%,5.3%,6.5%,6.3%,6.8%,6.9%
2019-04-11,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-12,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-13,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-14,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-15,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-16,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-17,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-18,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-19,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-20,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-21,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-22,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-23,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-24,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-25,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-26,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-27,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-28,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-29,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-04-30,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-01,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-02,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-03,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-04,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-05,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-06,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-07,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-08,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-09,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-10,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-11,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-12,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-13,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-14,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-15,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-16,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-17,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-18,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-19,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-20,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-21,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-22,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-23,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-24,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-25,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-26,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-27,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-28,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-29,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-30,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-05-31,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-01,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-02,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-03,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-04,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-05,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-06,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-07,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-08,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-09,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-10,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-11,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-12,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-13,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-14,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-15,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-16,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-17,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-18,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-19,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-20,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-21,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-22,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-23,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-24,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-25,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-26,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-27,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-28,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-29,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-06-30,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-01,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-02,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-03,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-04,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-05,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-06,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-07,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-08,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-09,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-10,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-11,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-12,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-13,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-14,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-15,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-16,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-17,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-18,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-19,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-20,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-21,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-22,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-23,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-24,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-25,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
2019-07-26,6.5%,4.6%,3.7%,6.3%,6.7%,6.9%
