date,2020,last3,last1,home,away,2019
2013-01-01,7.0%,7.7%,12.0%,6.9%,7.0%,6.5%
2013-01-02,7.0%,7.7%,12.0%,6.9%,7.0%,6.5%
2013-01-03,7.0%,8.3%,7.3%,6.9%,7.0%,6.5%
2013-01-04,7.0%,8.3%,7.3%,6.9%,7.0%,6.5%
2013-01-05,7.0%,9.1%,7.6%,6.9%,7.1%,6.5%
2013-01-06,7.0%,9.1%,7.6%,6.9%,7.1%,6.5%
2013-01-07,7.0%,9.1%,7.6%,6.9%,7.1%,6.5%
2013-01-08,7.1%,8.2%,9.4%,7.1%,7.1%,6.5%
2013-01-09,7.1%,8.2%,9.4%,7.1%,7.1%,6.5%
2013-01-10,7.1%,8.4%,8.0%,7.1%,7.1%,6.5%
2013-01-11,7.1%,8.4%,8.0%,7.1%,7.1%,6.5%
2013-01-12,7.1%,8.1%,7.0%,7.1%,7.1%,6.5%
2013-01-13,7.1%,7.0%,5.9%,7.1%,7.1%,6.5%
2013-01-14,7.1%,7.0%,5.9%,7.1%,7.1%,6.5%
2013-01-15,7.0%,6.3%,5.8%,7.0%,7.1%,6.5%
2013-01-16,7.0%,6.3%,5.8%,7.0%,7.1%,6.5%
2013-01-17,7.0%,6.0%,6.1%,7.0%,7.0%,6.5%
2013-01-18,7.0%,6.0%,6.1%,7.0%,7.0%,6.5%
2013-01-19,6.9%,5.1%,3.5%,7.0%,6.8%,6.5%
2013-01-20,6.9%,5.0%,5.4%,6.9%,6.8%,6.5%
2013-01-21,6.9%,5.0%,5.4%,6.9%,6.8%,6.5%
2013-01-22,6.9%,5.7%,8.3%,7.0%,6.8%,6.5%
2013-01-23,6.9%,5.7%,8.3%,7.0%,6.8%,6.5%
2013-01-24,6.9%,6.3%,5.1%,6.9%,6.8%,6.5%
2013-01-25,6.9%,6.3%,5.1%,6.9%,6.8%,6.5%
2013-01-26,6.8%,5.8%,3.8%,6.8%,6.8%,6.5%
2013-01-27,6.8%,4.7%,5.2%,6.8%,6.7%,6.5%
2013-01-28,6.8%,4.7%,5.2%,6.8%,6.7%,6.5%
2013-01-29,6.7%,4.6%,5.0%,6.7%,6.7%,6.5%
2013-01-30,6.7%,4.6%,5.0%,6.7%,6.7%,6.5%
2013-01-31,6.8%,6.5%,9.1%,6.7%,6.8%,6.5%
2013-02-01,6.8%,6.5%,9.1%,6.7%,6.8%,6.5%
2013-02-02,6.8%,7.7%,8.8%,6.7%,6.9%,6.5%
2013-02-03,6.9%,9.9%,11.9%,6.7%,7.1%,6.5%
2013-02-04,6.9%,9.9%,11.9%,6.7%,7.1%,6.5%
2013-02-05,6.9%,9.0%,6.5%,6.7%,7.1%,6.5%
2013-02-06,6.9%,9.0%,6.5%,6.7%,7.1%,6.5%
