date,2020,last3,last1,home,away,2019
2021-01-01,6.1%,5.5%,7.6%,5.8%,6.7%,8.9%
2021-01-02,6.5%,7.3%,8.6%,5.8%,7.3%,8.9%
2021-01-03,6.5%,7.3%,8.6%,5.8%,7.3%,8.9%
2021-01-04,7.0%,8.5%,9.5%,6.7%,7.3%,8.9%
2021-01-05,7.0%,8.5%,9.5%,6.7%,7.3%,8.9%
2021-01-06,6.7%,7.5%,4.4%,6.7%,6.6%,8.9%
2021-01-07,6.2%,5.5%,2.6%,6.7%,5.8%,8.9%
2021-01-08,6.2%,5.5%,2.6%,6.7%,5.8%,8.9%
2021-01-09,6.5%,5.3%,9.1%,6.7%,6.4%,8.9%
2021-01-10,6.5%,5.3%,9.1%,6.7%,6.4%,8.9%
2021-01-11,6.4%,5.6%,5.2%,6.7%,6.2%,8.9%
2021-01-12,6.4%,5.6%,5.2%,6.7%,6.2%,8.9%
2021-01-13,6.4%,5.6%,5.2%,6.7%,6.2%,8.9%
2021-01-14,6.4%,5.6%,5.2%,6.7%,6.2%,8.9%
2021-01-15,6.4%,5.6%,5.2%,6.7%,6.2%,8.9%
2021-01-16,6.1%,6.0%,3.9%,6.7%,5.9%,8.9%
2021-01-17,6.1%,6.0%,3.9%,6.7%,5.9%,8.9%
2021-01-18,6.6%,6.9%,11.6%,6.7%,6.5%,8.9%
2021-01-19,6.7%,8.0%,8.8%,7.1%,6.5%,8.9%
2021-01-20,6.7%,8.0%,8.8%,7.1%,6.5%,8.9%
2021-01-21,6.7%,8.0%,8.8%,7.1%,6.5%,8.9%
2021-01-22,6.7%,8.0%,8.8%,7.1%,6.5%,8.9%
2021-01-23,6.9%,9.8%,8.7%,7.1%,6.8%,8.9%
2021-01-24,6.9%,8.3%,7.2%,7.1%,6.8%,8.9%
2021-01-25,6.9%,8.3%,7.2%,7.1%,6.8%,8.9%
2021-01-26,6.7%,6.6%,3.7%,6.6%,6.8%,8.9%
2021-01-27,6.8%,6.8%,3.7%,6.6%,6.8%,8.9%
2021-01-28,6.8%,6.8%,3.7%,6.6%,6.8%,8.9%
2021-01-29,6.8%,6.8%,3.7%,6.6%,6.8%,8.9%
2021-01-30,6.8%,6.8%,3.7%,6.6%,6.8%,8.9%
2021-01-31,6.7%,5.2%,4.8%,6.4%,6.8%,8.9%
2021-02-01,6.7%,5.2%,4.8%,6.4%,6.8%,8.9%
2021-02-02,6.4%,3.7%,2.7%,6.0%,6.8%,8.9%
2021-02-03,6.4%,3.7%,2.7%,6.0%,6.8%,8.9%
2021-02-04,6.6%,5.8%,9.9%,6.4%,6.8%,8.9%
2021-02-05,6.6%,5.8%,9.9%,6.4%,6.8%,8.9%
2021-02-06,6.7%,6.8%,7.9%,6.4%,6.9%,8.9%
2021-02-07,6.6%,7.7%,5.3%,6.4%,6.8%,8.9%
2021-02-08,6.6%,7.7%,5.3%,6.4%,6.8%,8.9%
2021-02-09,6.6%,6.1%,5.3%,6.3%,6.8%,8.9%
2021-02-10,6.6%,6.1%,5.3%,6.3%,6.8%,8.9%
2021-02-11,6.4%,4.8%,3.8%,6.1%,6.8%,8.9%
2021-02-12,6.4%,4.8%,3.8%,6.1%,6.8%,8.9%
2021-02-13,6.4%,4.4%,3.9%,5.9%,6.8%,8.9%
2021-02-14,6.4%,4.4%,3.9%,5.9%,6.8%,8.9%
2021-02-15,6.4%,4.4%,3.9%,5.9%,6.8%,8.9%
2021-02-16,6.3%,4.2%,4.8%,5.9%,6.6%,8.9%
2021-02-17,6.3%,4.2%,4.8%,5.9%,6.6%,8.9%
2021-02-18,6.3%,5.4%,7.5%,6.1%,6.6%,8.9%
2021-02-19,6.3%,5.4%,7.5%,6.1%,6.6%,8.9%
2021-02-20,6.3%,5.4%,4.3%,6.1%,6.5%,8.9%
2021-02-21,6.2%,5.3%,4.4%,5.9%,6.5%,8.9%
2021-02-22,6.2%,5.3%,4.4%,5.9%,6.5%,8.9%
2021-02-23,6.1%,4.4%,4.4%,5.9%,6.3%,8.9%
2021-02-24,6.1%,4.4%,4.4%,5.9%,6.3%,8.9%
2021-02-25,6.2%,5.9%,8.5%,6.1%,6.3%,8.9%
2021-02-26,6.2%,5.9%,8.5%,6.1%,6.3%,8.9%
2021-02-27,6.1%,5.3%,2.0%,5.9%,6.3%,8.9%
2021-02-28,6.1%,5.3%,2.0%,5.9%,6.3%,8.9%
2021-03-01,6.1%,5.3%,2.0%,5.9%,6.3%,8.9%
2021-03-02,6.1%,5.9%,6.4%,5.9%,6.3%,8.9%
2021-03-03,6.1%,5.9%,6.4%,5.9%,6.3%,8.9%
2021-03-04,6.1%,4.6%,5.3%,5.9%,6.3%,8.9%
2021-03-05,6.1%,4.6%,5.3%,5.9%,6.3%,8.9%
2021-03-06,6.1%,4.6%,5.3%,5.9%,6.3%,8.9%
2021-03-07,6.1%,4.6%,5.3%,5.9%,6.3%,8.9%
2021-03-08,6.1%,4.6%,5.3%,5.9%,6.3%,8.9%
2021-03-09,6.1%,4.6%,5.3%,5.9%,6.3%,8.9%
2021-03-10,6.1%,4.6%,5.3%,5.9%,6.3%,8.9%
2021-03-11,6.1%,4.6%,5.3%,5.9%,6.3%,8.9%
2021-03-12,6.0%,4.7%,2.5%,5.7%,6.3%,8.9%
2021-03-13,6.0%,4.2%,5.0%,5.7%,6.3%,8.9%
2021-03-14,6.0%,4.2%,5.0%,5.7%,6.3%,8.9%
2021-03-15,5.9%,4.3%,5.4%,5.7%,6.3%,8.9%
2021-03-16,5.9%,4.2%,5.3%,5.7%,6.3%,8.9%
2021-03-17,6.0%,5.8%,7.0%,5.8%,6.3%,8.9%
2021-03-18,6.0%,5.9%,5.4%,5.7%,6.3%,8.9%
2021-03-19,6.0%,5.9%,5.4%,5.7%,6.3%,8.9%
2021-03-20,5.9%,5.8%,5.1%,5.7%,6.2%,8.9%
2021-03-21,5.9%,5.8%,5.1%,5.7%,6.2%,8.9%
2021-03-22,6.0%,5.9%,7.4%,5.7%,6.3%,8.9%
2021-03-23,5.9%,5.7%,4.5%,5.7%,6.3%,8.9%
2021-03-24,5.9%,5.7%,4.5%,5.7%,6.3%,8.9%
2021-03-25,5.9%,5.8%,5.6%,5.7%,6.3%,8.9%
2021-03-26,5.9%,5.8%,5.6%,5.7%,6.3%,8.9%
2021-03-27,5.9%,5.8%,5.6%,5.7%,6.3%,8.9%
2021-03-28,5.9%,5.2%,5.5%,5.7%,6.2%,8.9%
2021-03-29,5.9%,5.2%,5.5%,5.7%,6.2%,8.9%
2021-03-30,5.9%,6.1%,7.2%,5.7%,6.3%,8.9%
2021-03-31,5.9%,6.1%,7.2%,5.7%,6.3%,8.9%
2021-04-01,5.9%,6.2%,5.8%,5.7%,6.2%,8.9%
2021-04-02,5.9%,6.2%,5.8%,5.7%,6.2%,8.9%
2021-04-03,5.9%,6.0%,4.9%,5.7%,6.2%,8.9%
2021-04-04,5.9%,6.0%,4.9%,5.7%,6.2%,8.9%
2021-04-05,5.9%,4.9%,4.0%,5.6%,6.2%,8.9%
2021-04-06,5.9%,4.9%,4.0%,5.6%,6.2%,8.9%
2021-04-07,5.9%,5.7%,8.0%,5.6%,6.3%,8.9%
2021-04-08,5.9%,5.7%,8.0%,5.6%,6.3%,8.9%
2021-04-09,5.9%,5.5%,4.3%,5.6%,6.2%,8.9%
2021-04-10,5.9%,6.0%,5.8%,5.6%,6.2%,8.9%
2021-04-11,5.9%,6.0%,5.8%,5.6%,6.2%,8.9%
2021-04-12,6.0%,6.4%,9.3%,5.6%,6.3%,8.9%
2021-04-13,6.0%,7.4%,7.1%,5.6%,6.3%,8.9%
2021-04-14,6.0%,7.4%,7.1%,5.6%,6.3%,8.9%
2021-04-15,6.0%,7.7%,6.5%,5.7%,6.3%,8.9%
2021-04-16,6.0%,7.7%,6.5%,5.7%,6.3%,8.9%
2021-04-17,5.9%,5.5%,2.8%,5.6%,6.3%,8.9%
2021-04-18,5.9%,5.1%,5.8%,5.6%,6.3%,8.9%
2021-04-19,5.9%,5.1%,5.8%,5.6%,6.3%,8.9%
2021-04-20,6.0%,6.5%,11.0%,5.6%,6.5%,8.9%
2021-04-21,6.0%,6.5%,11.0%,5.6%,6.5%,8.9%
2021-04-22,6.0%,7.3%,5.5%,5.6%,6.4%,8.9%
2021-04-23,6.0%,7.9%,7.6%,5.6%,6.4%,8.9%
2021-04-24,6.0%,7.9%,7.6%,5.6%,6.4%,8.9%
2021-04-25,6.0%,6.6%,6.7%,5.6%,6.4%,8.9%
2021-04-26,6.0%,6.6%,6.7%,5.6%,6.4%,8.9%
2021-04-27,6.0%,5.8%,2.9%,5.6%,6.3%,8.9%
2021-04-28,6.0%,5.8%,2.9%,5.6%,6.3%,8.9%
2021-04-29,5.9%,3.9%,1.9%,5.6%,6.2%,8.9%
2021-04-30,5.9%,3.9%,1.9%,5.6%,6.2%,8.9%
2021-05-01,5.9%,3.2%,4.5%,5.6%,6.2%,8.9%
2021-05-02,6.0%,5.7%,10.7%,5.6%,6.3%,8.9%
2021-05-03,6.0%,5.7%,10.7%,5.6%,6.3%,8.9%
2021-05-04,6.0%,7.3%,6.8%,5.6%,6.3%,8.9%
2021-05-05,6.0%,7.3%,6.8%,5.6%,6.3%,8.9%
2021-05-06,6.0%,7.3%,6.8%,5.6%,6.3%,8.9%
2021-05-07,6.0%,8.8%,8.8%,5.6%,6.4%,8.9%
2021-05-08,6.1%,8.2%,8.9%,5.7%,6.4%,8.9%
2021-05-09,6.1%,8.2%,8.9%,5.7%,6.4%,8.9%
2021-05-10,6.1%,8.0%,6.0%,5.7%,6.4%,8.9%
2021-05-11,6.1%,8.0%,6.0%,5.7%,6.4%,8.9%
2021-05-12,6.0%,6.2%,3.6%,5.7%,6.4%,8.9%
2021-05-13,6.0%,6.2%,3.6%,5.7%,6.4%,8.9%
2021-05-14,6.0%,4.4%,3.7%,5.6%,6.4%,8.9%
2021-05-15,6.0%,4.4%,3.7%,5.6%,6.4%,8.9%
2021-05-16,6.0%,4.6%,6.7%,5.6%,6.4%,8.9%
2021-05-17,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-18,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-19,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-20,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-21,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-22,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-23,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-24,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-25,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-26,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-27,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-28,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-29,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-30,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-05-31,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
2021-06-01,6.0%,5.8%,6.9%,5.7%,6.4%,8.9%
