date,2020,last3,last1,home,away,2019
2020-01-01,5.2%,4.8%,2.4%,5.6%,4.8%,4.8%
2020-01-02,5.2%,4.8%,2.4%,5.6%,4.8%,4.8%
2020-01-03,5.3%,4.9%,6.6%,5.6%,4.8%,4.8%
2020-01-04,5.3%,4.9%,6.6%,5.6%,4.8%,4.8%
2020-01-05,5.3%,5.0%,6.1%,5.7%,4.8%,4.8%
2020-01-06,5.3%,5.0%,6.1%,5.7%,4.8%,4.8%
2020-01-07,5.4%,7.0%,8.3%,5.7%,5.0%,4.8%
2020-01-08,5.3%,6.6%,7.1%,5.7%,4.9%,4.8%
2020-01-09,5.2%,5.1%,2.3%,5.7%,4.8%,4.8%
2020-01-10,5.2%,5.1%,2.3%,5.7%,4.8%,4.8%
2020-01-11,5.2%,4.3%,3.6%,5.6%,4.8%,4.8%
2020-01-12,5.3%,4.4%,7.7%,5.6%,4.9%,4.8%
2020-01-13,5.3%,4.4%,7.7%,5.6%,4.9%,4.8%
2020-01-14,5.3%,5.7%,6.0%,5.6%,5.0%,4.8%
2020-01-15,5.3%,5.7%,6.0%,5.6%,5.0%,4.8%
2020-01-16,5.3%,6.7%,6.3%,5.6%,5.0%,4.8%
2020-01-17,5.3%,6.7%,6.3%,5.6%,5.0%,4.8%
2020-01-18,5.3%,5.3%,3.7%,5.6%,4.9%,4.8%
2020-01-19,5.3%,5.5%,6.8%,5.6%,4.9%,4.8%
2020-01-20,5.3%,5.5%,6.8%,5.6%,4.9%,4.8%
2020-01-21,5.2%,4.3%,2.6%,5.6%,4.8%,4.8%
2020-01-22,5.2%,4.3%,2.6%,5.6%,4.8%,4.8%
2020-01-23,5.2%,3.8%,2.3%,5.5%,4.8%,4.8%
2020-01-24,5.2%,3.8%,2.3%,5.5%,4.8%,4.8%
2020-01-25,5.2%,3.3%,4.9%,5.5%,4.8%,4.8%
2020-01-26,5.1%,3.2%,2.4%,5.5%,4.7%,4.8%
2020-01-27,5.1%,3.2%,2.4%,5.5%,4.7%,4.8%
2020-01-28,5.1%,3.2%,2.4%,5.4%,4.7%,4.8%
2020-01-29,5.1%,3.2%,2.4%,5.4%,4.7%,4.8%
2020-01-30,5.0%,2.7%,3.4%,5.4%,4.7%,4.8%
2020-01-31,5.0%,2.7%,3.4%,5.4%,4.7%,4.8%
2020-02-01,5.0%,3.2%,3.8%,5.4%,4.6%,4.8%
2020-02-02,5.0%,3.2%,3.8%,5.4%,4.6%,4.8%
2020-02-03,4.9%,2.4%,0.0%,5.4%,4.4%,4.8%
2020-02-04,4.9%,2.4%,0.0%,5.4%,4.4%,4.8%
2020-02-05,4.9%,2.4%,0.0%,5.4%,4.4%,4.8%
2020-02-06,4.9%,2.4%,0.0%,5.4%,4.4%,4.8%
2020-02-07,4.8%,1.6%,1.1%,5.2%,4.4%,4.8%
2020-02-08,4.8%,1.6%,1.1%,5.2%,4.4%,4.8%
2020-02-09,4.8%,1.6%,1.1%,5.2%,4.4%,4.8%
2020-02-10,4.8%,1.6%,3.6%,5.2%,4.4%,4.8%
2020-02-11,4.8%,1.6%,3.6%,5.2%,4.4%,4.8%
2020-02-12,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-13,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-14,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-15,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-16,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-17,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-18,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-19,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-20,4.8%,3.1%,4.5%,5.2%,4.4%,4.8%
2020-02-21,4.8%,4.0%,4.1%,5.2%,4.4%,4.8%
2020-02-22,4.8%,4.0%,4.1%,5.2%,4.4%,4.8%
2020-02-23,4.8%,5.6%,8.1%,5.3%,4.4%,4.8%
2020-02-24,4.9%,6.0%,5.5%,5.3%,4.4%,4.8%
2020-02-25,4.9%,6.0%,5.5%,5.3%,4.4%,4.8%
2020-02-26,4.9%,6.4%,5.3%,5.3%,4.4%,4.8%
2020-02-27,4.9%,6.4%,5.3%,5.3%,4.4%,4.8%
2020-02-28,4.9%,6.4%,5.3%,5.3%,4.4%,4.8%
2020-02-29,4.9%,6.4%,5.3%,5.3%,4.4%,4.8%
2020-03-01,4.8%,4.7%,3.5%,5.3%,4.4%,4.8%
2020-03-02,4.8%,4.7%,3.5%,5.3%,4.4%,4.8%
2020-03-03,4.9%,4.9%,6.0%,5.3%,4.4%,4.8%
2020-03-04,4.9%,4.9%,6.0%,5.3%,4.4%,4.8%
2020-03-05,4.9%,4.8%,5.0%,5.3%,4.4%,4.8%
2020-03-06,4.9%,4.8%,5.0%,5.3%,4.4%,4.8%
2020-03-07,4.9%,6.7%,8.0%,5.4%,4.4%,4.8%
2020-03-08,4.9%,6.7%,8.0%,5.4%,4.4%,4.8%
2020-03-09,4.9%,6.4%,4.7%,5.4%,4.4%,4.8%
2020-03-10,4.9%,6.4%,4.7%,5.4%,4.4%,4.8%
2020-03-11,5.0%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-12,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-13,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-14,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-15,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-16,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-17,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-18,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-19,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-20,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-21,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-22,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-23,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-24,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-25,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-26,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-27,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-28,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-29,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-30,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-03-31,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-01,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-02,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-03,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-04,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-05,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-06,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-07,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-08,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-09,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-10,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-11,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-12,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-13,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-14,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-15,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-16,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-17,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-18,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-19,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-20,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-21,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-22,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-23,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-24,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-25,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-26,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-27,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-28,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-29,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-04-30,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-01,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-02,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-03,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-04,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-05,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-06,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-07,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-08,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-09,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-10,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-11,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-12,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-13,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-14,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-15,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-16,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-17,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-18,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-19,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-20,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-21,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-22,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-23,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-24,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-25,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-26,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-27,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-28,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-29,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-30,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-05-31,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-01,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-02,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-03,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-04,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-05,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-06,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-07,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-08,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-09,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-10,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-11,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-12,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-13,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-14,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-15,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-16,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-17,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-18,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-19,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-20,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-21,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-22,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-23,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-24,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-25,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-26,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-27,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-28,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-29,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-06-30,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-01,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-02,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-03,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-04,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-05,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-06,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-07,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-08,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-09,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-10,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-11,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-12,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-13,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-14,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-15,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-16,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-17,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-18,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-19,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-20,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-21,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-22,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-23,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-24,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-25,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-26,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-27,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-28,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-29,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-30,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-07-31,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-01,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-02,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-03,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-04,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-05,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-06,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-07,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-08,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-09,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-10,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-11,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-12,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-13,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-14,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-15,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
2020-08-16,4.9%,6.8%,7.5%,5.4%,4.4%,4.8%
