date,2020,last3,last1,home,away,2019
2013-01-01,6.2%,5.9%,7.1%,7.4%,4.6%,7.3%
2013-01-02,6.2%,5.9%,7.1%,7.4%,4.6%,7.3%
2013-01-03,6.2%,6.9%,6.4%,7.4%,4.8%,7.3%
2013-01-04,6.2%,6.9%,6.4%,7.4%,4.8%,7.3%
2013-01-05,6.1%,5.6%,3.1%,7.4%,4.7%,7.3%
2013-01-06,6.1%,5.6%,3.1%,7.4%,4.7%,7.3%
2013-01-07,6.1%,5.6%,3.1%,7.4%,4.7%,7.3%
2013-01-08,6.3%,7.2%,11.5%,7.6%,4.7%,7.3%
2013-01-09,6.3%,7.2%,11.5%,7.6%,4.7%,7.3%
2013-01-10,6.2%,5.7%,2.4%,7.3%,4.7%,7.3%
2013-01-11,6.2%,5.7%,2.4%,7.3%,4.7%,7.3%
2013-01-12,6.2%,6.7%,6.7%,7.3%,4.8%,7.3%
2013-01-13,6.3%,5.7%,8.2%,7.4%,4.8%,7.3%
2013-01-14,6.3%,5.7%,8.2%,7.4%,4.8%,7.3%
2013-01-15,6.5%,10.2%,15.9%,7.8%,4.8%,7.3%
2013-01-16,6.5%,10.2%,15.9%,7.8%,4.8%,7.3%
2013-01-17,6.4%,8.8%,2.4%,7.8%,4.6%,7.3%
2013-01-18,6.4%,8.8%,2.4%,7.8%,4.6%,7.3%
2013-01-19,6.2%,6.2%,1.1%,7.8%,4.4%,7.3%
2013-01-20,6.3%,3.5%,7.1%,7.7%,4.4%,7.3%
2013-01-21,6.3%,3.5%,7.1%,7.7%,4.4%,7.3%
2013-01-22,6.5%,7.0%,13.6%,8.0%,4.4%,7.3%
2013-01-23,6.5%,7.0%,13.6%,8.0%,4.4%,7.3%
2013-01-24,6.4%,8.9%,6.1%,7.9%,4.4%,7.3%
2013-01-25,6.4%,8.9%,6.1%,7.9%,4.4%,7.3%
2013-01-26,6.5%,10.0%,10.3%,8.0%,4.4%,7.3%
2013-01-27,6.6%,7.9%,7.6%,8.0%,4.6%,7.3%
2013-01-28,6.6%,7.9%,7.6%,8.0%,4.6%,7.3%
