date,2020,last3,last1,home,away,2019
2016-01-17,6.9%,4.6%,2.6%,8.0%,5.3%,6.8%
2016-01-18,6.9%,4.6%,2.6%,8.0%,5.3%,6.8%
2016-01-19,6.9%,3.8%,6.3%,8.0%,5.4%,6.8%
2016-01-20,6.9%,3.8%,6.3%,8.0%,5.4%,6.8%
2016-01-21,6.8%,4.5%,4.2%,7.9%,5.4%,6.8%
2016-01-22,6.8%,4.5%,4.2%,7.9%,5.4%,6.8%
2016-01-23,6.8%,4.9%,4.2%,7.9%,5.3%,6.8%
2016-01-24,6.7%,4.6%,5.3%,7.9%,5.3%,6.8%
2016-01-25,6.7%,4.6%,5.3%,7.9%,5.3%,6.8%
2016-01-26,6.7%,4.4%,3.7%,7.7%,5.3%,6.8%
2016-01-27,6.7%,4.4%,3.7%,7.7%,5.3%,6.8%
2016-01-28,6.7%,4.4%,3.7%,7.7%,5.3%,6.8%
2016-01-29,6.7%,5.0%,5.9%,7.7%,5.3%,6.8%
2016-01-30,6.7%,5.0%,5.9%,7.7%,5.3%,6.8%
2016-01-31,6.7%,5.0%,5.9%,7.7%,5.3%,6.8%
2016-02-01,6.6%,4.8%,4.8%,7.7%,5.3%,6.8%
2016-02-02,6.7%,6.3%,8.2%,7.7%,5.4%,6.8%
2016-02-03,6.7%,6.3%,8.2%,7.7%,5.4%,6.8%
2016-02-04,6.5%,4.3%,0.0%,7.7%,5.2%,6.8%
2016-02-05,6.5%,4.3%,0.0%,7.7%,5.2%,6.8%
2016-02-06,6.6%,5.4%,8.0%,7.7%,5.3%,6.8%
2016-02-07,6.5%,4.2%,4.6%,7.7%,5.3%,6.8%
2016-02-08,6.5%,4.2%,4.6%,7.7%,5.3%,6.8%
2016-02-09,6.6%,7.5%,10.0%,7.7%,5.5%,6.8%
2016-02-10,6.6%,7.5%,10.0%,7.7%,5.5%,6.8%
2016-02-11,6.5%,5.8%,3.3%,7.6%,5.5%,6.8%
2016-02-12,6.5%,5.8%,3.3%,7.6%,5.5%,6.8%
2016-02-13,6.5%,5.8%,3.3%,7.6%,5.5%,6.8%
2016-02-14,6.5%,5.8%,3.3%,7.6%,5.5%,6.8%
2016-02-15,6.5%,5.8%,3.3%,7.6%,5.5%,6.8%
2016-02-16,6.5%,5.8%,3.3%,7.6%,5.5%,6.8%
2016-02-17,6.5%,5.8%,3.3%,7.6%,5.5%,6.8%
2016-02-18,6.5%,5.8%,3.3%,7.6%,5.5%,6.8%
2016-02-19,6.5%,5.7%,4.4%,7.6%,5.4%,6.8%
2016-02-20,6.5%,4.8%,6.8%,7.5%,5.4%,6.8%
2016-02-21,6.5%,4.8%,6.8%,7.5%,5.4%,6.8%
2016-02-22,6.5%,6.2%,7.5%,7.5%,5.4%,6.8%
2016-02-23,6.5%,6.2%,7.5%,7.5%,5.4%,6.8%
2016-02-24,6.5%,6.2%,7.5%,7.5%,5.4%,6.8%
2016-02-25,6.4%,5.5%,2.2%,7.3%,5.4%,6.8%
2016-02-26,6.4%,5.5%,2.2%,7.3%,5.4%,6.8%
2016-02-27,6.4%,4.0%,2.2%,7.3%,5.3%,6.8%
2016-02-28,6.4%,3.8%,6.9%,7.3%,5.3%,6.8%
2016-02-29,6.4%,3.8%,6.9%,7.3%,5.3%,6.8%
2016-03-01,6.4%,3.8%,6.9%,7.3%,5.3%,6.8%
