date,2020,last3,last1,home,away,2019
2016-01-01,7.0%,9.9%,10.3%,8.3%,5.0%,6.8%
2016-01-02,7.1%,10.8%,10.7%,8.4%,5.0%,6.8%
2016-01-03,7.1%,10.8%,10.7%,8.4%,5.0%,6.8%
2016-01-04,7.1%,9.9%,8.7%,8.4%,5.2%,6.8%
2016-01-05,7.1%,9.9%,8.7%,8.4%,5.2%,6.8%
2016-01-06,7.2%,9.7%,9.8%,8.5%,5.2%,6.8%
2016-01-07,7.2%,9.7%,9.8%,8.5%,5.2%,6.8%
2016-01-08,7.2%,7.9%,5.1%,8.3%,5.2%,6.8%
2016-01-09,7.2%,7.9%,5.1%,8.3%,5.2%,6.8%
2016-01-10,7.1%,7.1%,6.4%,8.3%,5.3%,6.8%
2016-01-11,7.1%,7.1%,6.4%,8.3%,5.3%,6.8%
2016-01-12,7.1%,5.8%,6.1%,8.2%,5.3%,6.8%
2016-01-13,7.2%,7.0%,8.6%,8.2%,5.6%,6.8%
2016-01-14,7.2%,7.0%,8.6%,8.2%,5.6%,6.8%
2016-01-15,7.0%,5.6%,2.2%,8.2%,5.3%,6.8%
2016-01-16,6.9%,4.6%,2.6%,8.0%,5.3%,6.8%
