date,2020,last3,last1,home,away,2019
2019-01-01,14.0%,11.8%,17.1%,13.7%,14.3%,12.5%
2019-01-02,14.0%,11.8%,17.1%,13.7%,14.3%,12.5%
2019-01-03,14.0%,12.7%,11.0%,13.6%,14.3%,12.5%
2019-01-04,14.0%,12.7%,11.0%,13.6%,14.3%,12.5%
2019-01-05,14.0%,14.7%,15.8%,13.7%,14.3%,12.5%
2019-01-06,14.0%,14.7%,15.8%,13.7%,14.3%,12.5%
2019-01-07,14.0%,13.1%,12.1%,13.6%,14.3%,12.5%
2019-01-08,14.0%,13.1%,12.1%,13.6%,14.3%,12.5%
2019-01-09,14.0%,13.1%,12.1%,13.6%,14.3%,12.5%
2019-01-10,13.9%,13.1%,10.6%,13.6%,14.2%,12.5%
2019-01-11,13.9%,13.1%,10.6%,13.6%,14.2%,12.5%
2019-01-12,13.8%,11.8%,12.0%,13.6%,14.0%,12.5%
2019-01-13,13.7%,10.7%,9.6%,13.6%,13.8%,12.5%
2019-01-14,13.7%,10.7%,9.6%,13.6%,13.8%,12.5%
2019-01-15,13.7%,10.7%,9.6%,13.6%,13.8%,12.5%
2019-01-16,13.7%,11.5%,12.8%,13.6%,13.8%,12.5%
2019-01-17,13.7%,11.5%,12.8%,13.6%,13.8%,12.5%
2019-01-18,13.6%,11.0%,10.6%,13.6%,13.7%,12.5%
2019-01-19,13.6%,11.0%,10.6%,13.6%,13.7%,12.5%
2019-01-20,13.6%,11.9%,12.3%,13.6%,13.7%,12.5%
2019-01-21,13.6%,11.9%,12.3%,13.6%,13.7%,12.5%
2019-01-22,13.7%,13.1%,16.6%,13.6%,13.8%,12.5%
2019-01-23,13.7%,13.1%,16.6%,13.6%,13.8%,12.5%
2019-01-24,13.7%,14.3%,14.0%,13.6%,13.8%,12.5%
2019-01-25,13.7%,14.3%,14.0%,13.6%,13.8%,12.5%
2019-01-26,13.6%,13.2%,9.3%,13.4%,13.8%,12.5%
2019-01-27,13.6%,13.2%,9.3%,13.4%,13.8%,12.5%
2019-01-28,13.5%,10.9%,9.6%,13.2%,13.8%,12.5%
2019-01-29,13.5%,10.9%,9.6%,13.2%,13.8%,12.5%
2019-01-30,13.5%,11.4%,15.0%,13.2%,13.8%,12.5%
2019-01-31,13.5%,12.6%,12.9%,13.2%,13.8%,12.5%
2019-02-01,13.5%,12.6%,12.9%,13.2%,13.8%,12.5%
2019-02-02,13.5%,12.6%,12.9%,13.2%,13.8%,12.5%
2019-02-03,13.5%,12.7%,9.8%,13.2%,13.7%,12.5%
2019-02-04,13.5%,12.7%,9.8%,13.2%,13.7%,12.5%
2019-02-05,13.5%,12.7%,9.8%,13.2%,13.7%,12.5%
2019-02-06,13.5%,12.7%,9.8%,13.2%,13.7%,12.5%
2019-02-07,13.4%,10.0%,7.5%,13.0%,13.7%,12.5%
2019-02-08,13.4%,10.0%,7.5%,13.0%,13.7%,12.5%
2019-02-09,13.4%,11.1%,15.6%,13.0%,13.7%,12.5%
2019-02-10,13.3%,10.8%,9.0%,12.9%,13.7%,12.5%
2019-02-11,13.3%,10.8%,9.0%,12.9%,13.7%,12.5%
2019-02-12,13.3%,12.1%,12.0%,12.8%,13.7%,12.5%
2019-02-13,13.3%,12.1%,12.0%,12.8%,13.7%,12.5%
2019-02-14,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-15,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-16,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-17,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-18,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-19,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-20,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-21,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-22,13.3%,11.5%,13.7%,12.9%,13.7%,12.5%
2019-02-23,13.2%,11.2%,7.6%,12.9%,13.5%,12.5%
2019-02-24,13.2%,11.0%,11.6%,12.8%,13.5%,12.5%
2019-02-25,13.2%,10.7%,11.6%,12.8%,13.5%,12.5%
2019-02-26,13.1%,8.6%,6.4%,12.6%,13.5%,12.5%
2019-02-27,13.1%,8.6%,6.4%,12.6%,13.5%,12.5%
2019-02-28,13.1%,10.5%,13.5%,12.6%,13.5%,12.5%
2019-03-01,13.1%,10.5%,13.5%,12.6%,13.5%,12.5%
2019-03-02,13.0%,10.3%,10.8%,12.6%,13.4%,12.5%
2019-03-03,13.0%,10.3%,10.8%,12.6%,13.4%,12.5%
2019-03-04,13.0%,12.0%,12.2%,12.6%,13.4%,12.5%
2019-03-05,13.0%,12.0%,12.2%,12.6%,13.4%,12.5%
2019-03-06,12.9%,10.6%,8.9%,12.6%,13.3%,12.5%
2019-03-07,12.9%,10.7%,11.1%,12.5%,13.3%,12.5%
2019-03-08,12.9%,10.7%,11.1%,12.5%,13.3%,12.5%
2019-03-09,12.9%,11.5%,14.6%,12.6%,13.3%,12.5%
2019-03-10,12.9%,11.5%,14.6%,12.6%,13.3%,12.5%
2019-03-11,12.9%,11.7%,9.5%,12.6%,13.2%,12.5%
2019-03-12,12.9%,11.7%,9.5%,12.6%,13.2%,12.5%
2019-03-13,12.9%,12.8%,14.0%,12.6%,13.2%,12.5%
2019-03-14,12.9%,12.8%,14.0%,12.6%,13.2%,12.5%
2019-03-15,12.9%,12.8%,14.0%,12.6%,13.2%,12.5%
2019-03-16,12.9%,12.9%,14.8%,12.6%,13.2%,12.5%
2019-03-17,12.9%,12.9%,14.8%,12.6%,13.2%,12.5%
2019-03-18,13.0%,15.3%,17.0%,12.6%,13.3%,12.5%
2019-03-19,13.0%,14.5%,11.6%,12.6%,13.3%,12.5%
2019-03-20,13.0%,14.5%,11.6%,12.6%,13.3%,12.5%
2019-03-21,12.9%,13.2%,11.2%,12.6%,13.3%,12.5%
2019-03-22,12.9%,13.2%,11.2%,12.6%,13.3%,12.5%
2019-03-23,12.9%,13.2%,11.2%,12.6%,13.3%,12.5%
2019-03-24,12.9%,11.1%,10.6%,12.5%,13.3%,12.5%
2019-03-25,12.9%,11.1%,10.6%,12.5%,13.3%,12.5%
2019-03-26,12.9%,11.1%,10.6%,12.5%,13.3%,12.5%
2019-03-27,12.9%,12.5%,15.9%,12.5%,13.4%,12.5%
2019-03-28,12.9%,11.9%,9.1%,12.4%,13.4%,12.5%
2019-03-29,12.9%,11.9%,9.1%,12.4%,13.4%,12.5%
2019-03-30,12.9%,11.9%,9.1%,12.4%,13.4%,12.5%
2019-03-31,12.9%,12.0%,10.9%,12.4%,13.4%,12.5%
2019-04-01,12.9%,12.0%,10.9%,12.4%,13.4%,12.5%
2019-04-02,12.8%,8.8%,6.3%,12.4%,13.2%,12.5%
2019-04-03,12.8%,8.8%,6.3%,12.4%,13.2%,12.5%
2019-04-04,12.8%,11.5%,16.7%,12.4%,13.3%,12.5%
2019-04-05,12.8%,11.5%,16.7%,12.4%,13.3%,12.5%
2019-04-06,12.8%,11.5%,16.7%,12.4%,13.3%,12.5%
2019-04-07,12.8%,10.4%,7.6%,12.3%,13.3%,12.5%
2019-04-08,12.8%,10.4%,7.6%,12.3%,13.3%,12.5%
2019-04-09,12.8%,10.4%,7.6%,12.3%,13.3%,12.5%
2019-04-10,12.7%,10.6%,6.8%,12.2%,13.3%,12.5%
2019-04-11,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-12,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-13,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-14,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-15,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-16,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-17,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-18,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-19,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-20,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-21,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-22,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-23,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-24,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-25,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-26,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-27,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-28,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-29,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-04-30,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-01,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-02,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-03,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-04,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-05,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-06,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-07,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-08,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-09,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-10,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-11,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-12,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-13,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-14,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-15,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-16,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-17,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-18,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-19,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-20,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-21,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-22,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-23,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-24,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-25,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-26,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-27,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-28,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-29,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-30,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-05-31,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-01,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-02,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-03,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-04,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-05,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-06,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-07,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-08,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-09,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-10,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-11,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-12,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-13,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-14,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-15,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-16,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-17,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-18,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-19,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-20,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-21,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-22,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-23,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-24,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-25,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-26,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-27,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-28,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-29,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-06-30,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-01,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-02,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-03,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-04,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-05,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-06,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-07,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-08,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-09,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-10,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-11,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-12,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-13,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-14,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-15,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-16,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-17,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-18,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-19,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-20,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-21,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-22,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-23,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-24,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-25,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-26,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-27,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-28,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-29,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-30,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-07-31,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-01,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-02,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-03,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-04,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-05,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-06,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-07,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-08,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-09,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-10,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-11,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-12,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-13,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-14,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-15,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-16,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-17,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-18,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-19,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-20,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-21,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-22,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-23,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-24,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-25,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
2019-08-26,12.6%,7.2%,7.4%,12.2%,13.1%,12.5%
