date,win-pct-all-games-year,win-pct-all-games-last-3,win-pct-all-games-last-1,win-pct-all-games-home,win-pct-all-games-away,win-pct-all-games-last-year
2013-01-01,0.552,0.333,0.000,0.529,0.583,0.722
2013-01-02,0.552,0.333,0.000,0.529,0.583,0.722
2013-01-03,0.567,0.667,1.000,0.529,0.615,0.722
2013-01-04,0.567,0.667,1.000,0.529,0.615,0.722
2013-01-05,0.581,0.667,1.000,0.529,0.643,0.722
2013-01-06,0.581,0.667,1.000,0.529,0.643,0.722
2013-01-07,0.581,0.667,1.000,0.529,0.643,0.722
2013-01-08,0.594,1.000,1.000,0.556,0.643,0.722
2013-01-09,0.594,1.000,1.000,0.556,0.643,0.722
2013-01-10,0.576,0.667,0.000,0.526,0.643,0.722
2013-01-11,0.576,0.667,0.000,0.526,0.643,0.722
2013-01-12,0.588,0.667,1.000,0.526,0.667,0.722
2013-01-13,0.571,0.333,0.000,0.500,0.667,0.722
2013-01-14,0.571,0.333,0.000,0.500,0.667,0.722
2013-01-15,0.583,0.667,1.000,0.524,0.667,0.722
2013-01-16,0.583,0.667,1.000,0.524,0.667,0.722
2013-01-17,0.595,0.667,1.000,0.524,0.688,0.722
2013-01-18,0.595,0.667,1.000,0.524,0.688,0.722
2013-01-19,0.605,1.000,1.000,0.524,0.706,0.722
2013-01-20,0.590,0.667,0.000,0.500,0.706,0.722
2013-01-21,0.590,0.667,0.000,0.500,0.706,0.722
2013-01-22,0.600,0.667,1.000,0.522,0.706,0.722
2013-01-23,0.600,0.667,1.000,0.522,0.706,0.722
2013-01-24,0.610,0.667,1.000,0.542,0.706,0.722
2013-01-25,0.610,0.667,1.000,0.542,0.706,0.722
2013-01-26,0.619,1.000,1.000,0.560,0.706,0.722
2013-01-27,0.605,0.667,0.000,0.560,0.667,0.722
2013-01-28,0.605,0.667,0.000,0.560,0.667,0.722
2013-01-29,0.614,0.667,1.000,0.577,0.667,0.722
2013-01-30,0.614,0.667,1.000,0.577,0.667,0.722
2013-01-31,0.622,0.667,1.000,0.577,0.684,0.722
2013-02-01,0.622,0.667,1.000,0.577,0.684,0.722
2013-02-02,0.609,0.667,0.000,0.577,0.650,0.722
2013-02-03,0.617,0.667,1.000,0.577,0.667,0.722
2013-02-04,0.617,0.667,1.000,0.577,0.667,0.722
2013-02-05,0.604,0.333,0.000,0.577,0.636,0.722
2013-02-06,0.604,0.333,0.000,0.577,0.636,0.722
2013-02-07,0.604,0.333,0.000,0.577,0.636,0.722
2013-02-08,0.592,0.333,0.000,0.577,0.609,0.722
2013-02-09,0.600,0.333,1.000,0.577,0.625,0.722
2013-02-10,0.600,0.333,1.000,0.577,0.625,0.722
2013-02-11,0.600,0.333,1.000,0.577,0.625,0.722
2013-02-12,0.588,0.333,0.000,0.556,0.625,0.722
2013-02-13,0.588,0.333,0.000,0.556,0.625,0.722
2013-02-14,0.577,0.333,0.000,0.556,0.600,0.722
2013-02-15,0.577,0.333,0.000,0.556,0.600,0.722
2013-02-16,0.577,0.333,0.000,0.556,0.600,0.722
2013-02-17,0.577,0.333,0.000,0.556,0.600,0.722
2013-02-18,0.577,0.333,0.000,0.556,0.600,0.722
2013-02-19,0.577,0.333,0.000,0.556,0.600,0.722
2013-02-20,0.585,0.333,1.000,0.556,0.615,0.722
2013-02-21,0.585,0.333,1.000,0.556,0.615,0.722
2013-02-22,0.574,0.333,0.000,0.536,0.615,0.722
2013-02-23,0.582,0.667,1.000,0.536,0.630,0.722
2013-02-24,0.582,0.667,1.000,0.536,0.630,0.722
2013-02-25,0.571,0.333,0.000,0.536,0.607,0.722
2013-02-26,0.571,0.333,0.000,0.536,0.607,0.722
2013-02-27,0.561,0.333,0.000,0.517,0.607,0.722
2013-02-28,0.561,0.333,0.000,0.517,0.607,0.722
2013-03-01,0.569,0.333,1.000,0.533,0.607,0.722
2013-03-02,0.569,0.333,1.000,0.533,0.607,0.722
2013-03-03,0.576,0.667,1.000,0.548,0.607,0.722
2013-03-04,0.567,0.667,0.000,0.548,0.586,0.722
2013-03-05,0.567,0.667,0.000,0.548,0.586,0.722
